"","site_code","site_name","country","habitat","max.year"
"1","ahth.is","Audkuluheidi Heath","Iceland","heathland",3
"2","amlr.is","Audkuluheidi Melur","Iceland","desert grassland",3
"3","arch.us","Archbold Biological Station","United States","mixedgrass prairie",3
"4","azi.cn","Azi","China","alpine grassland",4
"5","badlau.de","Bad Lauchstaedt","Germany","old field",4
"6","barta.us","Barta Brothers","United States","mixedgrass prairie",4
"7","bldr.us","Boulder South Campus","United States","shortgrass prairie",8
"8","bnch.us","Bunchgrass (Andrews LTER)","United States","montane grassland",11
"9","bogong.au","Bogong","Australia","alpine grassland",10
"10","burrawan.au","Burrawan","Australia","semiarid grassland",11
"11","burren.ie","Slieve Carran","Ireland","calcareous grassland",3
"12","cbgb.us","Chichaqua Bottoms","United States","tallgrass prairie",10
"13","cdcr.us","Cedar Creek LTER","United States","tallgrass prairie",11
"14","cdpt.us","Cedar Point Biological Station","United States","shortgrass prairie",12
"15","chilcas.ar","Las Chilcas","Argentina","mesic grassland",6
"16","cowi.ca","Cowichan","Canada","old field",11
"17","doane.us","Doane College Spring Creek Prairie ","United States","tallgrass prairie",5
"18","ethass.au","Ethabuka (South Site)","Australia","desert grassland",6
"19","frue.ch","Fruebuel","Switzerland","pasture",7
"20","gilb.za","Mt Gilboa","South Africa","montane grassland",3
"21","hall.us","Hall's Prairie","United States","tallgrass prairie",7
"22","hart.us","Hart Mountain","United States","shrub steppe",5
"23","hnvr.us","Hanover","United States","old field",3
"24","hopl.us","Hopland REC","United States","annual grassland",12
"25","jena.de","JeNut","Germany","grassland",5
"26","kbs.us","Kellogg Biological Station LTER","United States","old field",4
"27","kibber.in","Kibber (Spiti)","India","alpine grassland",6
"28","kilp.fi","Kilpisjärvi","Finland","tundra grassland",5
"29","kiny.au","Kinypanial","Australia","semiarid grassland",11
"30","koffler.ca","Koffler Scientific Reserve at Joker's Hill","Canada","pasture",9
"31","konz.us","Konza LTER","United States","tallgrass prairie",11
"32","lake.us","Lakeside Laboratory","United States","tallgrass prairie",4
"33","lancaster.uk","Lancaster","United Kingdom","mesic grassland",9
"34","look.us","Lookout (Andrews LTER)","United States","montane grassland",11
"35","marc.ar","Mar Chiquita","Argentina","grassland",7
"36","mcla.us","Mclaughlin UCNRS","United States","annual grassland",12
"37","mtca.au","Mt. Caroline","Australia","savanna",10
"38","pape.de","Papenburg","Germany","old field",6
"39","ping.au","Pingelly Paddock","Australia","old field",5
"40","pinj.au","Pinjarra Hills","Australia","pasture",5
"41","potrok.ar","Potrok Aike","Argentina","semiarid grassland",3
"42","saana.fi","Saana","Finland","montane grassland",5
"43","sage.us","Sagehen Creek UCNRS","United States","montane grassland",6
"44","sava.us","Savannah River","United States","savanna",5
"45","sedg.us","Sedgwick Reserve UCNRS","United States","annual grassland",10
"46","sereng.tz","Serengeti","Tanzania","savanna",4
"47","sevi.us","Sevilleta LTER","United States","desert grassland",11
"48","sgs.us","Shortgrass Steppe LTER","United States","shortgrass prairie",11
"49","shps.us","Sheep Experimental Station","United States","shrub steppe",5
"50","sier.us","Sierra Foothills REC","United States","annual grassland",12
"51","smith.us","Smith Prairie","United States","mesic grassland",8
"52","spin.us","Spindletop","United States","pasture",12
"53","summ.za","Summerveld","South Africa","mesic grassland",3
"54","temple.us","Temple","United States","tallgrass prairie",9
"55","ukul.za","Ukulinga","South Africa","mesic grassland",9
"56","unc.us","Duke Forest","United States","old field",4
"57","valm.ch","Val Mustair","Switzerland","alpine grassland",11
"58","yarra.au","Yarramundi","Australia","mesic grassland",5
